GEO_ID,NAME,BA Degrees,Perc_Degree,PercWDeg
36001,"Albany County, New York",93623,1.74,1.74
36003,"Allegany County, New York",6716,0.13,0.13
36005,"Bronx County, New York",200891,3.74,3.74
36007,"Broome County, New York",38078,0.71,0.71
36009,"Cattaraugus County, New York",10620,0.2,0.2
36011,"Cayuga County, New York",12338,0.23,0.23
36013,"Chautauqua County, New York",20915,0.39,0.39
36015,"Chemung County, New York",14256,0.27,0.27
36017,"Chenango County, New York",6210,0.12,0.12
36019,"Clinton County, New York",14002,0.26,0.26
36021,"Columbia County, New York",16415,0.31,0.31
36023,"Cortland County, New York",8274,0.15,0.15
36025,"Delaware County, New York",7586,0.14,0.14
36027,"Dutchess County, New York",78716,1.47,1.47
36029,"Erie County, New York",240472,4.48,4.48
36031,"Essex County, New York",8817,0.16,0.16
36033,"Franklin County, New York",7418,0.14,0.14
36035,"Fulton County, New York",7085,0.13,0.13
36037,"Genesee County, New York",9197,0.17,0.17
36039,"Greene County, New York",9253,0.17,0.17
36041,"Hamilton County, New York",816,0.02,0.02
36043,"Herkimer County, New York",9220,0.17,0.17
36045,"Jefferson County, New York",18194,0.34,0.34
36047,"Kings County, New York",741880,13.82,13.82
36049,"Lewis County, New York",3491,0.07,0.07
36051,"Livingston County, New York",12150,0.23,0.23
36053,"Madison County, New York",12216,0.23,0.23
36055,"Monroe County, New York",209945,3.91,3.91
36057,"Montgomery County, New York",6585,0.12,0.12
36059,"Nassau County, New York",460743,8.59,8.59
36061,"New York County, New York",801081,14.93,14.93
36063,"Niagara County, New York",40182,0.75,0.75
36065,"Oneida County, New York",42105,0.78,0.78
36067,"Onondaga County, New York",118738,2.21,2.21
36069,"Ontario County, New York",29828,0.56,0.56
36071,"Orange County, New York",80054,1.49,1.49
36073,"Orleans County, New York",5120,0.1,0.1
36075,"Oswego County, New York",16735,0.31,0.31
36077,"Otsego County, New York",13234,0.25,0.25
36079,"Putnam County, New York",29267,0.55,0.55
36081,"Queens County, New York",587052,10.94,10.94
36083,"Rensselaer County, New York",39039,0.73,0.73
36085,"Richmond County, New York",120174,2.24,2.24
36087,"Rockland County, New York",87754,1.64,1.64
36089,"St. Lawrence County, New York",16962,0.32,0.32
36091,"Saratoga County, New York",72252,1.35,1.35
36093,"Schenectady County, New York",36330,0.68,0.68
36095,"Schoharie County, New York",4995,0.09,0.09
36097,"Schuyler County, New York",3237,0.06,0.06
36099,"Seneca County, New York",5260,0.1,0.1
36101,"Steuben County, New York",17009,0.32,0.32
36103,"Suffolk County, New York",407900,7.6,7.6
36105,"Sullivan County, New York",14952,0.28,0.28
36107,"Tioga County, New York",8968,0.17,0.17
36109,"Tompkins County, New York",34348,0.64,0.64
36111,"Ulster County, New York",46012,0.86,0.86
36113,"Warren County, New York",16291,0.3,0.3
36115,"Washington County, New York",9286,0.17,0.17
36117,"Wayne County, New York",15885,0.3,0.3
36119,"Westchester County, New York",351129,6.54,6.54
36121,"Wyoming County, New York",5361,0.1,0.1
36123,"Yates County, New York",4050,0.08,0.08
